variable_name,dataset,code_list,definition,,
cf_tot_domestic,Budget,,"Expected funding from domestic sources, including loans (US Dollars)"
cf_tot_gf,Budget,,"Expected funding from the Global Fund to Fight AIDS, Tuberculosis and Malaria (US Dollars)"
cf_tot_grnt,Budget,,Expected funding from other sources (US Dollars)
cf_tot_sources,Budget,,Total expected funding from all sources (US Dollars)
cf_tot_usaid,Budget,,Expected funding from USAID (US Dollars)
tx_dstb,Budget,,Number of patients expected to start drug-susceptible TB treatment
tx_mdr,Budget,,Number of patients expected to start MDR-TB treatment
tx_xdr,Budget,,Number of patients expected to start XDR-TB treatment
bmu,Community engagement,,Number of TB Basic Management Units in the country
bmu_community_impl,Community engagement,,Number of TB Basic Management Units which implemented community-based referrals or any form of community treatment adherence support
bmu_ref_data,Community engagement,,Number of Basic Management Units with data on referrals by community health workers / community volunteers
bmu_rxsupport_data,Community engagement,,Number of Basic Management Units with data on community treatment adherence support
bmu_rxsupport_data_coh,Community engagement,,Total number of patients who started TB treatment in the Basic Management Units with data on community treatment adherence support
community_data_available,Community engagement,0=No; 1=Yes,Are data available on community-based referrals or any form of community treatment adherence support?
notified_ref,Community engagement,,Total number of new and relapse TB cases notified in the Basic Management Units with data on referrals by community health workers
notified_ref_community,Community engagement,,Total number of new and relapse TB cases referred by community health workers / community volunteers in the Basic Management Units with data on referrals by community health workers
rxsupport_community_coh,Community engagement,,Total number of patients who started TB treatment and who received any form of treatment adherence support from community health workers / community volunteers in the Basic Management Units with data on community treatment adherence support
rxsupport_community_succ,Community engagement,,Total number of patients who were cured or who completed treatment among the cases who started TB treatment and who received any form of treatment adherence support from community health workers / community volunteers in the Basic Management Units with data on community treatment adherence support
country,Country identification,,Country or territory name
iso_numeric,Country identification,,ISO numeric country/territory code
iso2,Country identification,,ISO 2-character country/territory code
iso3,Country identification,,ISO 3-character country/territory code
age_group,Disaggregated estimates,0-4=0-4 years; 5-14=5-14 years; 15-24=15-24 years ..etc; 15plus=15 years and above; 65plus=65 years and above; all=All ages;,Age group (in years)
best,Disaggregated estimates,,Best estimate
hi,Disaggregated estimates,,High bound of estimate
lo,Disaggregated estimates,,Low bound of estimate
measure,Disaggregated estimates,inc = incidence,The measure of TB burden being estimated
risk_factor,Disaggregated estimates,alc=Harmful use of alcohol; dia=Diabetes; hiv=HIV; smk=Smoking; und=Undernourishment; all=All (not disaggregated by specific risk factors),Cases attributable to a specific risk factor
sex,Disaggregated estimates,a=All (females and males); f=Females; m=Males,Sex
unit,Disaggregated estimates,num=absolute number,The unit of measurement
dst_rlt_hr_new,Drug resistance surveillance,,Number of new bacteriologically confirmed pulmonary TB patients with test results for rifampicin and isoniazid and with resistance to isoniazid (regardless of result for rifampicin)
dst_rlt_hr_ret,Drug resistance surveillance,,Number of previously treated bacteriologically confirmed pulmonary TB patients with test results for rifampicin and isoniazid and with resistance to isoniazid (regardless of result for rifampicin)
dst_rlt_new,Drug resistance surveillance,,Drug resistance surveillance: Among new pulmonary TB patients with positive identification for M. Tuberculosis complex (confirmed by culture and/or line-probe assay): number of patients with available drug susceptibility testing results for isoniazid and rifampicin,,,change mode append mode,,test,minimap on/off,,,saved
dst_rlt_ret,Drug resistance surveillance,,Drug resistance surveillance: Among patients previously treated for TB with positive identification for M. Tuberculosis complex (confirmed by culture and/or line-probe assay): number of patients with available drug susceptibility testing results for isoniazid and rifampicin
dst_rlt_rr_new,Drug resistance surveillance,,Number of new bacteriologically confirmed pulmonary TB patients with test results for rifampicin and isoniazid and with resistance to rifampicin (regardless of result for isoniazid)
dst_rlt_rr_ret,Drug resistance surveillance,,Number of previously treated bacteriologically confirmed pulmonary TB patients with test results for rifampicin and isoniazid and with resistance to rifampicin (regardless of result for isoniazid)
mdr_dst_rlt,Drug resistance surveillance,,Drug resistance surveillance: Total number of pulmonary MDR-TB patients with drug susceptibility test results for any fluoroquinolone and any second-line injectable agent
mdr_new,Drug resistance surveillance,,Drug resistance surveillance: Among new TB patients with available drug susceptibility testing results (variable dst_rlt_new):  number of patients with resistance to isoniazid and rifampicin  (MDR-TB)
mdr_ret,Drug resistance surveillance,,Drug resistance surveillance: Among patients previously treated for TB with available drug susceptibility testing results (variable dst_rlt_ret):  number of patients with resistance to isoniazid and rifampicin  (MDR-TB)
nrr_014,Drug resistance surveillance,,"Among patients with results for rifampicin testing in r_rlt_new and r_rlt_ret, number susceptible to rifampicin and who are aged 0-14 years"
nrr_15plus,Drug resistance surveillance,,"Among patients with results for rifampicin testing in r_rlt_new and r_rlt_ret, number susceptible to rifampicin and who are aged 15 years and over"
nrr_ageunk,Drug resistance surveillance,,"Among patients with results for rifampicin testing in r_rlt_new and r_rlt_ret, number susceptible to rifampicin and whose age is unknown"
nrr_hivneg,Drug resistance surveillance,,"Among patients with results for rifampicin testing in r_rlt_new and r_rlt_ret, number susceptible to rifampicin and who are HIV-negative"
nrr_hivpos,Drug resistance surveillance,,"Among patients with results for rifampicin testing in r_rlt_new and r_rlt_ret, number susceptible to rifampicin and who are HIV-positive"
nrr_hivunk,Drug resistance surveillance,,"Among patients with results for rifampicin testing in r_rlt_new and r_rlt_ret, number susceptible to rifampicin and whose HIV status is unknown"
pulm_labconf_new,Drug resistance surveillance,,Number of new bacteriologically confirmed pulmonary TB cases
pulm_labconf_ret,Drug resistance surveillance,,Number of previously treated bacteriologically confirmed pulmonary TB cases
pulm_labconf_unk,Drug resistance surveillance,,Number of bacteriologically confirmed pulmonary TB cases with unknown TB treatment history
r_rlt_new,Drug resistance surveillance,,Number of new bacteriologically confirmed pulmonary TB patients with test results for rifampicin
r_rlt_ret,Drug resistance surveillance,,Number of previously treated bacteriologically confirmed pulmonary TB patients with test results for rifampicin
rr_014,Drug resistance surveillance,,"Among patients with results for rifampicin testing in r_rlt_new and r_rlt_ret, number resistant to rifampicin and who are aged 0-14 years"
rr_15plus,Drug resistance surveillance,,"Among patients with results for rifampicin testing in r_rlt_new and r_rlt_ret, number resistant to rifampicin and who are aged 15 years and over"
rr_ageunk,Drug resistance surveillance,,"Among patients with results for rifampicin testing in r_rlt_new and r_rlt_ret, number resistant to rifampicin and whose age is unknown"
rr_dr_2li,Drug resistance surveillance,,"Among patients with results for rifampicin testing in r_rlt_new and r_rlt_ret, number resistant to rifampicin and who are aged 0-14 years"
rr_dr_fq,Drug resistance surveillance,,"Among patients with results for rifampicin testing in r_rlt_new and r_rlt_ret, number resistant to rifampicin and who are aged 0-14 years"
rr_dr_fq_2li,Drug resistance surveillance,,"Among patients with results for rifampicin testing in r_rlt_new and r_rlt_ret, number resistant to rifampicin and who are aged 0-14 years"
rr_ds_fq2li,Drug resistance surveillance,,"Among patients with results for rifampicin testing in r_rlt_new and r_rlt_ret, number resistant to rifampicin and who are aged 0-14 years"
rr_dst_rlt,Drug resistance surveillance,,"Among patients with results for rifampicin testing in r_rlt_new and r_rlt_ret, number resistant to rifampicin and who are aged 0-14 years"
rr_hivneg,Drug resistance surveillance,,"Among patients with results for rifampicin testing in r_rlt_new and r_rlt_ret, number resistant to rifampicin and who are HIV-negative"
rr_hivpos,Drug resistance surveillance,,"Among patients with results for rifampicin testing in r_rlt_new and r_rlt_ret, number resistant to rifampicin and who are HIV-positive"
rr_hivunk,Drug resistance surveillance,,"Among patients with results for rifampicin testing in r_rlt_new and r_rlt_ret, number resistant to rifampicin and whose HIV status is unknown"
rr_new,Drug resistance surveillance,,Number of new bacteriologically confirmed pulmonary TB patients with resistance to rifampicin (RR-TB)
rr_ret,Drug resistance surveillance,,Number of previously treated bacteriologically confirmed pulmonary TB patients with resistance to rifampicin (RR-TB)
xdr,Drug resistance surveillance,,Drug resistance surveillance: Among pulmonary MDR-TB patients with drug susceptibility test results for any fluoroquinolone (FQ) and any second-line injectable agent (2LI) (variable mdr_dst_rlt): number with any resistance to both FQ and 2LI (i.e. XDR-TB)
c_cdr,Estimates,,"Case detection rate (all forms) [also known as TB treatment coverage], percent"
c_cdr_hi,Estimates,,"Case detection rate (all forms) [also known as TB treatment coverage], percent, high bound"
c_cdr_lo,Estimates,,"Case detection rate (all forms) [also known as TB treatment coverage], percent, low bound"
c_newinc_100k,Estimates,,"Case notification rate, which is the total of new and relapse cases and cases with unknown previous TB treatment history per 100 000 population (calculated)"
cfr,Estimates,,Estimated TB case fatality ratio
cfr_hi,Estimates,,Estimated TB case fatality ratio: high bound
cfr_lo,Estimates,,Estimated TB case fatality ratio: low bound
cfr_pct,Estimates,,Estimated TB case fatality ratio expressed as a percentage
cfr_pct_hi,Estimates,,Estimated TB case fatality ratio: high bound expressed as a percentage
cfr_pct_lo,Estimates,,Estimated TB case fatality ratio: low bound expressed as a percentage
e_inc_100k,Estimates,,Estimated incidence (all forms) per 100 000 population
e_inc_100k_hi,Estimates,,"Estimated incidence (all forms) per 100 000 population, high bound"
e_inc_100k_lo,Estimates,,"Estimated incidence (all forms) per 100 000 population, low bound"
e_inc_num,Estimates,,Estimated number of incident cases (all forms)
e_inc_num_hi,Estimates,,"Estimated number of incident cases (all forms), high bound"
e_inc_num_lo,Estimates,,"Estimated number of incident cases (all forms), low bound"
e_inc_rr_num,Estimates,,Estimated incidence of rifampicin resistant TB (absolute number)
e_inc_rr_num_hi,Estimates,,Estimated incidence of rifampicin resistant TB (absolute number): high bound
e_inc_rr_num_lo,Estimates,,Estimated incidence of rifampicin resistant TB (absolute number): low bound
e_inc_tbhiv_100k,Estimates,,Estimated incidence of TB cases who are HIV-positive per 100 000 population
e_inc_tbhiv_100k_hi,Estimates,,"Estimated incidence of TB cases who are HIV-positive per 100 000 population, high bound"
e_inc_tbhiv_100k_lo,Estimates,,"Estimated incidence of TB cases who are HIV-positive per 100 000 population, low bound"
e_inc_tbhiv_num,Estimates,,Estimated incidence of TB cases who are HIV-positive
e_inc_tbhiv_num_hi,Estimates,,"Estimated incidence of TB cases who are HIV-positive, high bound"
e_inc_tbhiv_num_lo,Estimates,,"Estimated incidence of TB cases who are HIV-positive, low bound"
e_mdr_pct_rr,Estimates,,Estimated percentage of rifampicin resistant TB cases that have MDR-TB
e_mdr_pct_rr_new,Estimates,,Estimated percentage of new rifampicin resistant TB cases that have MDR-TB
e_mdr_pct_rr_ret,Estimates,,Estimated percentage of previously treated rifampicin resistant TB cases that have MDR-TB
e_mort_100k,Estimates,,Estimated mortality of TB cases (all forms) per 100 000 population
e_mort_100k_hi,Estimates,,"Estimated mortality of TB cases (all forms) per 100 000 population, high bound"
e_mort_100k_lo,Estimates,,"Estimated mortality of TB cases (all forms) per 100 000 population, low bound"
e_mort_exc_tbhiv_100k,Estimates,,"Estimated mortality of TB cases (all forms, excluding HIV) per 100 000 population"
e_mort_exc_tbhiv_100k_hi,Estimates,,"Estimated mortality of TB cases (all forms, excluding HIV), per 100 000 population, high bound"
e_mort_exc_tbhiv_100k_lo,Estimates,,"Estimated mortality of TB cases (all forms, excluding HIV), per 100 000 population, low bound"
e_mort_exc_tbhiv_num,Estimates,,"Estimated number of deaths from TB (all forms, excluding HIV)"
e_mort_exc_tbhiv_num_hi,Estimates,,"Estimated number of deaths from TB (all forms, excluding HIV), high bound"
e_mort_exc_tbhiv_num_lo,Estimates,,"Estimated number of deaths from TB (all forms, excluding HIV), low bound"
e_mort_num,Estimates,,Estimated number of deaths from TB (all forms)
e_mort_num_hi,Estimates,,"Estimated number of deaths from TB (all forms), high bound"
e_mort_num_lo,Estimates,,"Estimated number of deaths from TB (all forms), low bound"
e_mort_tbhiv_100k,Estimates,,"Estimated mortality of TB cases who are HIV-positive, per 100 000 population"
e_mort_tbhiv_100k_hi,Estimates,,"Estimated mortality of TB cases who are HIV-positive, per 100 000 population, high bound"
e_mort_tbhiv_100k_lo,Estimates,,"Estimated mortality of TB cases who are HIV-positive, per 100 000 population, low bound"
e_mort_tbhiv_num,Estimates,,Estimated number of deaths from TB in people who are HIV-positive
e_mort_tbhiv_num_hi,Estimates,,"Estimated number of deaths from TB in people who are HIV-positive, high bound"
e_mort_tbhiv_num_lo,Estimates,,"Estimated number of deaths from TB in people who are HIV-positive, low bound"
e_pop_num,Estimates,,Estimated total population number
e_rr_in_notified_labconf_pulm,Estimates,,Estimated number of RR-TB cases among notified bacteriologically confirmed pulmonary TB cases
e_rr_in_notified_labconf_pulm_hi,Estimates,,Estimated number of RR-TB cases among notified bacteriologically confirmed pulmonary TB cases: high bound
e_rr_in_notified_labconf_pulm_lo,Estimates,,Estimated number of RR-TB cases among notified bacteriologically confirmed pulmonary TB cases: low bound
e_rr_pct_new,Estimates,,Estimated percentage of new TB cases with rifampicin resistant TB
e_rr_pct_new_hi,Estimates,,Estimated percentage of new TB cases with rifampicin resistant TB: high bound
e_rr_pct_new_lo,Estimates,,Estimated percentage of new TB cases with rifampicin resistant TB: low bound
e_rr_pct_ret,Estimates,,Estimated percentage of previously treated TB cases with rifampicin resistant TB
e_rr_pct_ret_hi,Estimates,,Estimated percentage of previously treated TB cases with rifampicin resistant TB: high bound
e_rr_pct_ret_lo,Estimates,,Estimated percentage of previously treated TB cases with rifampicin resistant TB: low bound
e_tbhiv_prct,Estimates,,Estimated HIV in incident TB (percent)
e_tbhiv_prct_hi,Estimates,,"Estimated HIV in incident TB (percent), high bound"
e_tbhiv_prct_lo,Estimates,,"Estimated HIV in incident TB (percent), low bound"
source_drs_coverage_new,Estimates,,Indicates whether national or subnational data from drug resistance surveys or surveillance was used to estimate the proportion of new TB cases with MDR-TB
source_drs_coverage_ret,Estimates,,Indicates whether national or subnational data from drug resistance surveys or surveillance was used to estimate the proportion of previously treated TB cases with MDR-TB
source_drs_year_new,Estimates,,"Year of drug resistance surveillance, survey or model used to estimate proportion of new TB cases with MDR-TB"
source_drs_year_ret,Estimates,,"Year of drug resistance surveillance, survey or model used to estimate proportion of previously treated TB cases with MDR-TB"
source_rr_new,Estimates,,Method used to estimate proportion of new TB patients with rifampicin-resistant TB
source_rr_ret,Estimates,,Method used to estimate proportion of previously treated TB patients with rifampicin-resistant TB
exp_cpp_dstb,Expenditure and utilisation,,"Average cost of drugs spent per patient starting first-line TB treatment, excluding buffer stock (US Dollars)"
exp_cpp_mdr,Expenditure and utilisation,,"Average cost of drugs spent per patient starting second-line treatment for MDR-TB, excluding buffer stock (US Dollars)"
exp_cpp_xdr,Expenditure and utilisation,,"Average cost of drugs spent per patient starting XDR-TB treatment, excluding buffer stock (US Dollars)"
exp_fld,Expenditure and utilisation,,Actual expenditure on drugs to treat drug-susceptible TB (US Dollars)
exp_lab,Expenditure and utilisation,,"Actual expenditure on laboratory infrastructure, equipment and supplies (US Dollars)"
exp_mdrmgt,Expenditure and utilisation,,Actual expenditure on programme costs to treat drug-resistant TB (US Dollars)
exp_orsrvy,Expenditure and utilisation,,Actual expenditure on operational research and surveys (US Dollars)
exp_oth,Expenditure and utilisation,,Actual expenditure on all other budget line items (US Dollars)
exp_patsup,Expenditure and utilisation,,Actual expenditure on patient support (US Dollars)
exp_prog,Expenditure and utilisation,,Actual expenditure on programme costs to treat drug-susceptible TB (US Dollars)
exp_sld,Expenditure and utilisation,,Actual expenditure on drugs to treat drug-resistant TB (US Dollars)
exp_staff,Expenditure and utilisation,,Actual expenditure on National TB Programme staff (central unit staff and subnational TB staff)  (US Dollars)
exp_tbhiv,Expenditure and utilisation,,Actual expenditure on collaborative TB/HIV activities (US Dollars)
exp_tot,Expenditure and utilisation,,Total actual expenditure (US Dollars)
hcfvisit_dstb,Expenditure and utilisation,,Typical number of visits to a health facility after diagnosis for patients starting first-line TB treatment
hcfvisit_mdr,Expenditure and utilisation,,Typical number of visits to a health facility after diagnosis for patients starting MDR-TB/XDR-TB treatment
hosp_type_mdr,Expenditure and utilisation,2=Not applicable; 140=Primary-level hospital; 141=Secondary-level hospital; 142= Tertiary-level hospital,Type of facility most often used if MDR-TB patients are hospitalized
hospd_dstb_dur,Expenditure and utilisation,,Estimated average duration of stay if patients starting first-line TB treatment are hospitalized (days)
hospd_dstb_prct,Expenditure and utilisation,,Estimated percentage of patients starting first-line TB treatment that are hospitalized (%)
hospd_mdr_dur,Expenditure and utilisation,,Estimated average duration of stay if patients starting MDR-TB/XDR-TB treatment are hospitalized (days)
hospd_mdr_prct,Expenditure and utilisation,,Estimated percentage of patients starting MDR-TB/XDR-TB treatment that are hospitalized (%)
rcvd_fld,Expenditure and utilisation,,Funding received for drugs to treat drug-susceptible TB (US Dollars)
rcvd_lab,Expenditure and utilisation,,"Funding received for laboratory infrastructure, equipment and supplies (US Dollars)"
rcvd_mdrmgt,Expenditure and utilisation,,Funding received for programme costs to treat drug-resistant TB (US Dollars)
rcvd_orsrvy,Expenditure and utilisation,,Funding received for operational research and surveys (US Dollars)
rcvd_oth,Expenditure and utilisation,,Funding received for all other budget line items (US Dollars)
rcvd_patsup,Expenditure and utilisation,,Funding received for patient support (US Dollars)
rcvd_prog,Expenditure and utilisation,,Funding received for programme costs to treat drug-susceptible TB (US Dollars)
rcvd_sld,Expenditure and utilisation,,Funding received for drugs to treat drug-resistant TB (US Dollars)
rcvd_staff,Expenditure and utilisation,,Funding received for National TB Programme staff (central unit staff and subnational TB staff)  (US Dollars)
rcvd_tbhiv,Expenditure and utilisation,,Funding received for collaborative TB/HIV activities (US Dollars)
rcvd_tot,Expenditure and utilisation,,Total funding received for all budget line items (US Dollars)
rcvd_tot_domestic,Expenditure and utilisation,,"Funding received from domestic sources, including loans (US Dollars)"
rcvd_tot_gf,Expenditure and utilisation,,"Funding received from the Global Fund to Fight AIDS, Tuberculosis and Malaria (US Dollars)"
rcvd_tot_grnt,Expenditure and utilisation,,Funding received from other sources (US Dollars)
rcvd_tot_sources,Expenditure and utilisation,,Total funding received from all sources (US Dollars)
rcvd_tot_usaid,Expenditure and utilisation,,Funding received from USAID (US Dollars)
collab_private_lab,Laboratories,0=No; 1=yes,Were any non-NTP laboratories in the private sector (including NGOs) collaborating with the NTP?
collab_public_lab,Laboratories,0=No; 1=yes,Were any non-NTP laboratories in the public sector collaborating with the NTP?
culture,Laboratories,,Number of sites providing TB diagnostic services using culture at the end of the reporting year
dst,Laboratories,,Number of sites providing phenotypic drug susceptibility testing for first-line drugs only at the end of the reporting year
dst_eqa_pass,Laboratories,,Number of sites providing phenotypic drug susceptibility testing for first-line drugs only that demonstrated proficiency by panel testing
lab_cul,Laboratories,,Number of laboratories providing TB diagnostic services using culture
lab_dst,Laboratories,,Number of laboratories providing TB diagnostic services using drug susceptibility testing
lab_dst_eqa,Laboratories,,Number of drug susceptibility testing laboratories for which External Quality Assessment (EQA) was carried out
lab_dst_eqa_pass,Laboratories,,Number of drug susceptibility testing laboratories which demonstrated acceptable performance
lab_lpa,Laboratories,,Number of laboratories providing TB diagnostic services using Line Probe Assay (LPA) rifampicin
lab_lpa_eqa,Laboratories,,Number of Line Probe Assay (LPA) rifampicin  laboratories for which External Quality Assessment (EQA) was carried out
lab_lpa_eqa_pass,Laboratories,,Number of Line Probe Assay (LPA) rifampicin laboratories which demonstrated acceptable performance
lab_sm,Laboratories,,Number of laboratories providing TB diagnostic services using smear microscopy
lab_sm_eqa,Laboratories,,Number of smear microscopy laboratories for which External Quality Assessment (EQA) was carried out
lab_sm_eqa_pass,Laboratories,,Number of smear microscopy laboratories which demonstrated acceptable performance
lab_sm_led,Laboratories,,Number of laboratories providing TB diagnostic services using LED microscopes for smear microscopy
lab_xpert,Laboratories,,Number of laboratories providing TB diagnostic services using xpert MTB/RIF
lab_xpert_eqa,Laboratories,,Number of laboratories providing TB diagnostic services using xpert MTB/RIF for which External Quality Assessment (EQA) was carried out
lpa,Laboratories,,Number of sites providing Line Probe Assay services at the end of the reporting year
lpa_eqa_pass,Laboratories,,Number of sites providing Line Probe Assay services that demonstrated proficiency by panel testing
nrl,Laboratories,0=No; 1=yes,Was there a national reference laboratory or laboratories (NRL)?
nrl_iso15189,Laboratories,0=No; 1=yes,Has the national reference laboratory (or national reference laboratories) achieved national or international accreditation according to the ISO 15189 standard?
nrl_qms,Laboratories,0=No; 1=yes,Has a formal quality management system towards achieving laboratory accreditation been implemented at the National Reference Laboratory?
nrl_srl_link,Laboratories,0=No; 1=yes,Has a formal link been established between the National Reference Laboratory and a partner Supranational Reference Laboratory?
qms,Laboratories,0=No; 1=yes,"Is a formal quality management system towards achieving accreditation being implemented in all laboratories conducting culture, LPA and/or DST?"
sldst,Laboratories,,Number of sites providing phenotypic drug susceptibility testing for first-line drugs and second-line drugs at the end of the reporting year
sldst_avail_incntry,Laboratories,0=No; 1=yes,Was second-line drug susceptibility testing available within the country for TB National Treatment Programme patients?
sldst_avail_outcntry,Laboratories,0=No; 1=yes,Was second-line drug susceptibility testing available outside the country for TB National Treatment Programme patients?
sldst_eqa_pass,Laboratories,,Number of sites providing phenotypic drug susceptibility testing for first-line drugs and second-line drugs that demonstrated proficiency by panel testing
sllpa,Laboratories,,"Number of sites providing Line Probe Assay (LPA) services for rifampicin, isoniazid, fluoroquinolones, second-line injectables"
sllpa_eqa_pass,Laboratories,,"Number of sites providing Line Probe Assay (LPA) services for rifampicin, isoniazid, fluoroquinolones, second-line injectables that demonstrated proficiency by panel testing"
smear,Laboratories,,Number of sites providing TB diagnostic services using smear microscopy at the end of the reporting year
smear_eqa,Laboratories,,Number of sites providing TB diagnostic services using smear microscopy covered by a comprehensive EQA system
xpert,Laboratories,,Number of sites providing TB diagnostic services using Xpert MTB/RIF at the end of the reporting year
xpert_eqa,Laboratories,,Number of sites providing TB diagnostic services using Xpert MTB/RIF covered by a comprehensive EQA system
xpert_etrans,Laboratories,,Number of sites using Xpert MTB/RIF which transmit results automatically to clinicians and to an information management system
 e_prevtx_kids_pct,Latent TB infection,,Estimated % of children received TB preventive therapy aged under 5 who are household contacts of TB cases and who are eligible for TB preventive therapy
 e_prevtx_kids_pct_hi,Latent TB infection,,Estimated % of children received TB preventive therapy aged under 5 who are household contacts of TB cases and who are eligible for TB preventive therapy: High bound
 e_prevtx_kids_pct_lo,Latent TB infection,,Estimated % of children received TB preventive therapy aged under 5 who are household contacts of TB cases and who are eligible for TB preventive therapy: Low bound
e_hh_size,Latent TB infection,,Estimated average household size
e_prevtx_eligible,Latent TB infection,,Estimated number of children aged under 5 who are household contacts of TB cases who are eligible for TB preventive therapy
e_prevtx_eligible_hi,Latent TB infection,,Estimated number of children aged under 5 who are household contacts of TB cases who are eligible for TB preventive therapy: high bound
e_prevtx_eligible_lo,Latent TB infection,,Estimated number of children aged under 5 who are household contacts of TB cases who are eligible for TB preventive therapy: low bound
newinc_con04_prevtx,Latent TB infection,,(If prevtx_data_available=60) Number of children aged under 5 started on TB preventive treatment who are household contacts of bacteriologically-confirmed new and relapse TB cases notified
ptsurvey_newinc,Latent TB infection,,(If prevtx_data_available=61) Number of bacteriologically-confirmed TB new and relapse cases notified in the reporting year whose medical records or treatment cards were included in a survey
ptsurvey_newinc_con04_prevtx,Latent TB infection,,(If prevtx_data_available=61) Number of children aged under 5 started on TB preventive treatment who are household contacts of the TB cases in ptsurvey_newinc
source_hh,Latent TB infection,,Source of estimate of average household size
prevtx_data_available,LTBI/Policies and services,0=No; 60= Yes available from the routine surveillance system; 61=Yes  estimated from a survey of a random sample of medical records or treatment cards of TB patients representative of the national TB patient population,Are data available on the number of household contacts of TB cases started on TB preventive treatment?
tbhiv_sentin_cil,Non-routine HIV surveillance,,Lower limit (95% confidence interval) of prevalence (%) of HIV in TB patients estimated using sentinel sites
tbhiv_sentin_ciu,Non-routine HIV surveillance,,Upper limit (95% confidence interval) of prevalence (%) of HIV in TB patients estimated using sentinel sites
tbhiv_sentin_prev,Non-routine HIV surveillance,,Prevalence (%) of HIV in TB patients estimated using sentinel sites
tbhiv_sentin_yr,Non-routine HIV surveillance,,Year in which prevalence of HIV in TB patients was estimated using sentinel sites
tbhiv_surv_cil,Non-routine HIV surveillance,,Lower limit (95% confidence interval) of prevalence (%) of HIV in TB patients estimated using nationwide representative surveys
tbhiv_surv_ciu,Non-routine HIV surveillance,,Upper limit (95% confidence interval) of prevalence (%) of HIV in TB patients estimated using nationwide representative surveys
tbhiv_surv_prev,Non-routine HIV surveillance,,"Prevalence (%) of HIV in TB patients estimated using nationwide representative
surveys"
tbhiv_surv_yr,Non-routine HIV surveillance,,Year in which prevalence of HIV in TB patients was estimated using nationwide representative surveys
all_conf_xdr,Notification,,Number of laboratory-confirmed XDR-TB cases identified in the current year (including in MDR cases diagnosed in previous years).
c_newinc,Notification,,Total of new and relapse cases and cases with unknown previous TB treatment history
conf_mdr,Notification,,Number of laboratory-confirmed MDR-TB cases identified
conf_mdr_tx,Notification,,Number of laboratory-confirmed MDR-TB patients who started treatment for MDR-TB
conf_rrmdr,Notification,,Number of laboratory-confirmed RR-TB or MDR-TB cases identified
conf_rrmdr_tx,Notification,,Number of laboratory-confirmed rifampicin-resistant (RR-TB) or multidrug-resistant TB (MDR-TB) patients who started treatment for MDR-TB
conf_xdr_tx,Notification,,Number of laboratory-confirmed XDR-TB patients who started treatment for XDR-TB
hiv_art,Notification,,HIV-positive TB patients started or continued on antiretroviral therapy (ART)
hiv_cpt,Notification,,HIV-positive TB patients started or continued on co-trimoxazole preventive therapy (CPT)
hiv_ipt,Notification,,People living with HIV newly enrolled in HIV care who started treatment for latent TB infection
hiv_ipt_reg_all,Notification,,People living with HIV currently enrolled in HIV care who started treatment for latent TB infection
hiv_reg,Notification,,Total number of people registered as HIV-positive regardless of year of diagnosis. (Total number of adults and children enrolled in HIV care; includes everyone in the HIV care and/or ART register)
hiv_reg_all,Notification,,Number of adults and children currently enrolled in HIV care during the year.
hiv_reg_new,Notification,,Number of adults and children newly enrolled in HIV care during the year.
hiv_reg_new2,Notification,,Total number of adults and children newly enrolled in pre-ART care or on ART during the reporting period
